,name,labels
2484,Fish_Dataset/Fish_Dataset/Sea Bass/Sea Bass/00208.png,5
1782,Fish_Dataset/Fish_Dataset/Black Sea Sprat/Black Sea Sprat/00238.png,0
3041,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00504.png,6
6089,Fish_Dataset/Fish_Dataset/Trout/Trout/00005.png,7
4131,Fish_Dataset/Fish_Dataset/Gilt-Head Bream/Gilt-Head Bream/00225.png,1
2930,Fish_Dataset/Fish_Dataset/Sea Bass/Sea Bass/00965.png,5
5273,Fish_Dataset/Fish_Dataset/Red Sea Bream/Red Sea Bream/00838.png,4
6720,Fish_Dataset/Fish_Dataset/Trout/Trout/00530.png,7
1661,Fish_Dataset/Fish_Dataset/Black Sea Sprat/Black Sea Sprat/00910.png,0
7183,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00057.png,2
6556,Fish_Dataset/Fish_Dataset/Trout/Trout/00610.png,7
5403,Fish_Dataset/Fish_Dataset/Red Sea Bream/Red Sea Bream/00750.png,4
4816,Fish_Dataset/Fish_Dataset/Gilt-Head Bream/Gilt-Head Bream/00286.png,1
6012,Fish_Dataset/Fish_Dataset/Trout/Trout/00288.png,7
4228,Fish_Dataset/Fish_Dataset/Gilt-Head Bream/Gilt-Head Bream/00546.png,1
7537,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00512.png,2
2363,Fish_Dataset/Fish_Dataset/Sea Bass/Sea Bass/00160.png,5
6291,Fish_Dataset/Fish_Dataset/Trout/Trout/00187.png,7
1982,Fish_Dataset/Fish_Dataset/Black Sea Sprat/Black Sea Sprat/00706.png,0
5753,Fish_Dataset/Fish_Dataset/Red Sea Bream/Red Sea Bream/00137.png,4
2438,Fish_Dataset/Fish_Dataset/Sea Bass/Sea Bass/00446.png,5
2155,Fish_Dataset/Fish_Dataset/Sea Bass/Sea Bass/00566.png,5
5579,Fish_Dataset/Fish_Dataset/Red Sea Bream/Red Sea Bream/00951.png,4
4290,Fish_Dataset/Fish_Dataset/Gilt-Head Bream/Gilt-Head Bream/00285.png,1
1458,Fish_Dataset/Fish_Dataset/Black Sea Sprat/Black Sea Sprat/00635.png,0
886,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00050.png,3
7106,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00324.png,2
8970,Fish_Dataset/Fish_Dataset/Striped Red Mullet/Striped Red Mullet/00850.png,8
5009,Fish_Dataset/Fish_Dataset/Red Sea Bream/Red Sea Bream/00641.png,4
6073,Fish_Dataset/Fish_Dataset/Trout/Trout/00630.png,7
5592,Fish_Dataset/Fish_Dataset/Red Sea Bream/Red Sea Bream/00150.png,4
4038,Fish_Dataset/Fish_Dataset/Gilt-Head Bream/Gilt-Head Bream/00021.png,1
4571,Fish_Dataset/Fish_Dataset/Gilt-Head Bream/Gilt-Head Bream/00459.png,1
6660,Fish_Dataset/Fish_Dataset/Trout/Trout/00971.png,7
8045,Fish_Dataset/Fish_Dataset/Striped Red Mullet/Striped Red Mullet/00922.png,8
3316,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00731.png,6
6957,Fish_Dataset/Fish_Dataset/Trout/Trout/00608.png,7
1121,Fish_Dataset/Fish_Dataset/Black Sea Sprat/Black Sea Sprat/00919.png,0
8270,Fish_Dataset/Fish_Dataset/Striped Red Mullet/Striped Red Mullet/00665.png,8
2165,Fish_Dataset/Fish_Dataset/Sea Bass/Sea Bass/00574.png,5
1560,Fish_Dataset/Fish_Dataset/Black Sea Sprat/Black Sea Sprat/00829.png,0
7007,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00961.png,2
6727,Fish_Dataset/Fish_Dataset/Trout/Trout/00213.png,7
3368,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00897.png,6
8202,Fish_Dataset/Fish_Dataset/Striped Red Mullet/Striped Red Mullet/00703.png,8
4641,Fish_Dataset/Fish_Dataset/Gilt-Head Bream/Gilt-Head Bream/00396.png,1
5251,Fish_Dataset/Fish_Dataset/Red Sea Bream/Red Sea Bream/00125.png,4
5437,Fish_Dataset/Fish_Dataset/Red Sea Bream/Red Sea Bream/00994.png,4
3948,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00311.png,6
7484,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00208.png,2
8009,Fish_Dataset/Fish_Dataset/Striped Red Mullet/Striped Red Mullet/00641.png,8
3438,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00446.png,6
4295,Fish_Dataset/Fish_Dataset/Gilt-Head Bream/Gilt-Head Bream/00900.png,1
585,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00105.png,3
6495,Fish_Dataset/Fish_Dataset/Trout/Trout/00409.png,7
2206,Fish_Dataset/Fish_Dataset/Sea Bass/Sea Bass/00237.png,5
1080,Fish_Dataset/Fish_Dataset/Black Sea Sprat/Black Sea Sprat/00500.png,0
4955,Fish_Dataset/Fish_Dataset/Gilt-Head Bream/Gilt-Head Bream/00333.png,1
3809,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00188.png,6
6585,Fish_Dataset/Fish_Dataset/Trout/Trout/00105.png,7
8704,Fish_Dataset/Fish_Dataset/Striped Red Mullet/Striped Red Mullet/00455.png,8
8508,Fish_Dataset/Fish_Dataset/Striped Red Mullet/Striped Red Mullet/00394.png,8
678,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00992.png,3
708,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00846.png,3
2563,Fish_Dataset/Fish_Dataset/Sea Bass/Sea Bass/00562.png,5
6446,Fish_Dataset/Fish_Dataset/Trout/Trout/00357.png,7
1105,Fish_Dataset/Fish_Dataset/Black Sea Sprat/Black Sea Sprat/00561.png,0
6167,Fish_Dataset/Fish_Dataset/Trout/Trout/00146.png,7
4690,Fish_Dataset/Fish_Dataset/Gilt-Head Bream/Gilt-Head Bream/00162.png,1
5739,Fish_Dataset/Fish_Dataset/Red Sea Bream/Red Sea Bream/00831.png,4
7489,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00183.png,2
6270,Fish_Dataset/Fish_Dataset/Trout/Trout/00665.png,7
6113,Fish_Dataset/Fish_Dataset/Trout/Trout/00825.png,7
7120,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00438.png,2
4458,Fish_Dataset/Fish_Dataset/Gilt-Head Bream/Gilt-Head Bream/00635.png,1
5169,Fish_Dataset/Fish_Dataset/Red Sea Bream/Red Sea Bream/00133.png,4
7901,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00407.png,2
8414,Fish_Dataset/Fish_Dataset/Striped Red Mullet/Striped Red Mullet/00071.png,8
7851,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00190.png,2
3994,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00550.png,6
7366,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00435.png,2
3447,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00364.png,6
5752,Fish_Dataset/Fish_Dataset/Red Sea Bream/Red Sea Bream/00882.png,4
7956,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00101.png,2
1330,Fish_Dataset/Fish_Dataset/Black Sea Sprat/Black Sea Sprat/00949.png,0
7150,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00871.png,2
1821,Fish_Dataset/Fish_Dataset/Black Sea Sprat/Black Sea Sprat/00931.png,0
3961,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00885.png,6
2925,Fish_Dataset/Fish_Dataset/Sea Bass/Sea Bass/00282.png,5
3266,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00738.png,6
2214,Fish_Dataset/Fish_Dataset/Sea Bass/Sea Bass/00486.png,5
6214,Fish_Dataset/Fish_Dataset/Trout/Trout/00486.png,7
813,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00209.png,3
3117,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00679.png,6
786,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00047.png,3
8441,Fish_Dataset/Fish_Dataset/Striped Red Mullet/Striped Red Mullet/00928.png,8
39,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00494.png,3
519,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00902.png,3
8524,Fish_Dataset/Fish_Dataset/Striped Red Mullet/Striped Red Mullet/00061.png,8
6336,Fish_Dataset/Fish_Dataset/Trout/Trout/00631.png,7
4014,Fish_Dataset/Fish_Dataset/Gilt-Head Bream/Gilt-Head Bream/00078.png,1
5244,Fish_Dataset/Fish_Dataset/Red Sea Bream/Red Sea Bream/00612.png,4
3101,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00019.png,6
7881,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00264.png,2
8154,Fish_Dataset/Fish_Dataset/Striped Red Mullet/Striped Red Mullet/00691.png,8
4409,Fish_Dataset/Fish_Dataset/Gilt-Head Bream/Gilt-Head Bream/00236.png,1
7631,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00135.png,2
6888,Fish_Dataset/Fish_Dataset/Trout/Trout/00327.png,7
7216,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00195.png,2
1241,Fish_Dataset/Fish_Dataset/Black Sea Sprat/Black Sea Sprat/00434.png,0
1646,Fish_Dataset/Fish_Dataset/Black Sea Sprat/Black Sea Sprat/00912.png,0
8829,Fish_Dataset/Fish_Dataset/Striped Red Mullet/Striped Red Mullet/00720.png,8
7619,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00968.png,2
8446,Fish_Dataset/Fish_Dataset/Striped Red Mullet/Striped Red Mullet/00357.png,8
600,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00194.png,3
1491,Fish_Dataset/Fish_Dataset/Black Sea Sprat/Black Sea Sprat/00728.png,0
6102,Fish_Dataset/Fish_Dataset/Trout/Trout/00085.png,7
484,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00208.png,3
7034,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00896.png,2
7880,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00724.png,2
7333,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00052.png,2
639,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00499.png,3
3651,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00828.png,6
7686,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00139.png,2
5092,Fish_Dataset/Fish_Dataset/Red Sea Bream/Red Sea Bream/00889.png,4
3045,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00922.png,6
5140,Fish_Dataset/Fish_Dataset/Red Sea Bream/Red Sea Bream/00056.png,4
7426,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00571.png,2
2211,Fish_Dataset/Fish_Dataset/Sea Bass/Sea Bass/00975.png,5
5871,Fish_Dataset/Fish_Dataset/Red Sea Bream/Red Sea Bream/01000.png,4
2518,Fish_Dataset/Fish_Dataset/Sea Bass/Sea Bass/00709.png,5
7718,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00567.png,2
2829,Fish_Dataset/Fish_Dataset/Sea Bass/Sea Bass/00720.png,5
1013,Fish_Dataset/Fish_Dataset/Black Sea Sprat/Black Sea Sprat/00864.png,0
5810,Fish_Dataset/Fish_Dataset/Red Sea Bream/Red Sea Bream/00614.png,4
6715,Fish_Dataset/Fish_Dataset/Trout/Trout/00413.png,7
6096,Fish_Dataset/Fish_Dataset/Trout/Trout/00096.png,7
2941,Fish_Dataset/Fish_Dataset/Sea Bass/Sea Bass/00658.png,5
7293,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00867.png,2
467,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00252.png,3
5929,Fish_Dataset/Fish_Dataset/Red Sea Bream/Red Sea Bream/00765.png,4
6151,Fish_Dataset/Fish_Dataset/Trout/Trout/00710.png,7
6739,Fish_Dataset/Fish_Dataset/Trout/Trout/00831.png,7
5321,Fish_Dataset/Fish_Dataset/Red Sea Bream/Red Sea Bream/00158.png,4
8101,Fish_Dataset/Fish_Dataset/Striped Red Mullet/Striped Red Mullet/00019.png,8
5600,Fish_Dataset/Fish_Dataset/Red Sea Bream/Red Sea Bream/00194.png,4
5361,Fish_Dataset/Fish_Dataset/Red Sea Bream/Red Sea Bream/00458.png,4
4378,Fish_Dataset/Fish_Dataset/Gilt-Head Bream/Gilt-Head Bream/00686.png,1
1091,Fish_Dataset/Fish_Dataset/Black Sea Sprat/Black Sea Sprat/00944.png,0
5698,Fish_Dataset/Fish_Dataset/Red Sea Bream/Red Sea Bream/00038.png,4
3684,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00448.png,6
2639,Fish_Dataset/Fish_Dataset/Sea Bass/Sea Bass/00499.png,5
8028,Fish_Dataset/Fish_Dataset/Striped Red Mullet/Striped Red Mullet/00539.png,8
8734,Fish_Dataset/Fish_Dataset/Striped Red Mullet/Striped Red Mullet/00699.png,8
543,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00879.png,3
4831,Fish_Dataset/Fish_Dataset/Gilt-Head Bream/Gilt-Head Bream/00528.png,1
3779,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00157.png,6
3907,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00342.png,6
8254,Fish_Dataset/Fish_Dataset/Striped Red Mullet/Striped Red Mullet/00982.png,8
3901,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00407.png,6
8280,Fish_Dataset/Fish_Dataset/Striped Red Mullet/Striped Red Mullet/00012.png,8
3786,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00047.png,6
6031,Fish_Dataset/Fish_Dataset/Trout/Trout/00726.png,7
7307,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00172.png,2
792,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00558.png,3
3853,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00400.png,6
6831,Fish_Dataset/Fish_Dataset/Trout/Trout/00528.png,7
7125,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00305.png,2
4171,Fish_Dataset/Fish_Dataset/Gilt-Head Bream/Gilt-Head Bream/00360.png,1
7058,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00923.png,2
2308,Fish_Dataset/Fish_Dataset/Sea Bass/Sea Bass/00254.png,5
130,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00735.png,3
7357,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00532.png,2
5545,Fish_Dataset/Fish_Dataset/Red Sea Bream/Red Sea Bream/00660.png,4
4477,Fish_Dataset/Fish_Dataset/Gilt-Head Bream/Gilt-Head Bream/00277.png,1
6938,Fish_Dataset/Fish_Dataset/Trout/Trout/00999.png,7
8371,Fish_Dataset/Fish_Dataset/Striped Red Mullet/Striped Red Mullet/00167.png,8
